PatientID,GeographyKey,CustomerAlternateKey,Title,FirstName,MiddleName,LastName,BirthDate,MaritalStatus,Gender,Suffix,Mobile,EmailAddress,YearlyIncome,TotalChildren,NumberChildrenAtHome,City,StateProvinceName,CountryRegion,ZipCode,EnglishEducation,HouseOwnerFlag,NumberCarsOwned,AddressLine1,AddressLine2,Phone,DateFirstJoined,CommuteDistance
8003,143,AW00018047,NULL,Latasha,NULL,Alvarez,09-08-1979,M,Male,NULL,9997216170,latasha4@gmail.com,30000,0,0,Bothell,Washington,United States,98011,Partial College,0,1,Auf dem Ufer 164,NULL,1 (11) 500 555-0177,29-12-2011,0-1 Miles
8004,229,AW00018048,NULL,Alisha,NULL,Sun,04-04-1980,S,Female,NULL,9990560698,alisha13@gmail.com,30000,0,0,Bellevue,Washington,United States,98004,Partial College,0,1,4096 San Remo,NULL,1 (11) 500 555-0137,18-11-2013,1-2 Miles
8005,626,AW00018049,NULL,Patrick,H,Watson,20-11-1977,S,Female,NULL,9994772028,patrick6@gmail.com,40000,4,2,Kenmore,Washington,United States,98028,High School,1,2,8678 Hartnell Court,NULL,188-555-0114,13-09-2013,2-5 Miles
8006,348,AW00018050,NULL,Sara,NULL,Cooper,06-12-1966,M,Male,NULL,9993157021,sara19@gmail.com,60000,1,0,Seattle,Washington,United States,98104,Partial College,1,1,7443 Sherry Circle,NULL,875-555-0129,09-09-2013,0-1 Miles
8007,64,AW00018051,NULL,Caroline,NULL,Price,07-05-1967,M,Male,NULL,9994333607,caroline2@gmail.com,60000,1,0,Everett,Washington,United States,98201,Partial College,1,1,543 Sand Pointe Lane,Box #311,662-555-0188,02-12-2013,2-5 Miles
8008,360,AW00018052,NULL,Maria,J,Young,06-08-1972,M,Male,NULL,9991945910,maria65@gmail.com,60000,1,0,Bellevue,Washington,United States,98004,Partial College,1,1,631 Elliott Dr.,NULL,125-555-0197,17-09-2013,0-1 Miles
8009,494,AW00018053,NULL,Stefanie,NULL,Smith,06-04-1966,S,Female,NULL,9996565948,stefanie5@gmail.com,40000,0,0,Seattle,Washington,United States,98104,Bachelors,0,1,3605 Sinclair Ave.,NULL,172-555-0113,11-02-2013,2-5 Miles
8010,49,AW00018054,NULL,Jake,NULL,Zeng,03-10-1971,S,Female,NULL,9999008667,jake20@gmail.com,40000,0,0,Edmonds,Washington,United States,98020,Bachelors,0,1,4058 First Ave,NULL,987-555-0118,23-04-2013,0-1 Miles
8011,51,AW00018055,NULL,Trevor,A,Harrison,31-12-1972,S,Female,NULL,9993957982,trevor22@gmail.com,50000,0,0,Kent,Washington,United States,98031,Partial College,0,1,3004 Banyan Circle,NULL,685-555-0165,12-02-2013,0-1 Miles
8012,316,AW00018056,NULL,Haley,A,Price,06-09-1978,S,Female,NULL,9999327977,haley20@gmail.com,60000,0,0,Duvall,Washington,United States,98019,Graduate Degree,0,1,1833 Olympic Drive,NULL,572-555-0195,06-09-2013,0-1 Miles
8013,334,AW00018057,NULL,Logan,A,Washington,01-10-1983,M,Male,NULL,9990751671,logan16@gmail.com,60000,0,0,Duvall,Washington,United States,98019,Graduate Degree,0,1,5637 Teak Court,NULL,944-555-0179,02-09-2013,0-1 Miles
8014,299,AW00018058,NULL,Riley,S,Patterson,01-09-1933,S,Female,NULL,9994361838,riley8@gmail.com,20000,3,0,Bellevue,Washington,United States,98004,High School,1,2,708 Pine St,NULL,190-555-0118,03-09-2013,2-5 Miles
8015,644,AW00018059,NULL,Bailey,E,Gonzalez,11-11-1965,M,Male,NULL,9999724595,bailey29@gmail.com,60000,1,0,Edmonds,Washington,United States,98020,Partial College,1,1,4546 Fieldcrest Dr.,NULL,934-555-0118,07-09-2013,0-1 Miles
8016,634,AW00018060,NULL,Sara,NULL,Carter,08-10-1965,M,Male,NULL,9993462953,sara36@gmail.com,60000,1,0,Redmond,Washington,United States,98052,Partial College,1,1,1514 West M Street,NULL,674-555-0160,01-09-2013,2-5 Miles
8017,314,AW00018061,NULL,Jesse,A,Bailey,06-01-1955,M,Male,NULL,9998045908,jesse16@gmail.com,40000,4,0,Seattle,Washington,United States,98104,High School,0,2,5942 Laurel,NULL,708-555-0172,14-07-2013,1-2 Miles
8018,361,AW00018062,NULL,Dylan,NULL,Anderson,14-01-1961,M,Male,NULL,9994300689,dylan40@gmail.com,70000,4,0,Sammamish,Washington,United States,98074,Bachelors,0,2,416 Yosemite Circle,NULL,665-555-0156,22-09-2013,1-2 Miles
8019,358,AW00018063,NULL,Alexandria,C,Ward,16-06-1955,S,Female,NULL,9990915853,alexandria34@gmail.com,70000,4,0,Seattle,Washington,United States,98104,Bachelors,1,2,4110 Hanson Lane,NULL,100-555-0151,26-03-2013,10+ Miles
8020,334,AW00018064,NULL,Catherine,NULL,Rivera,07-07-1950,M,Male,NULL,9999856328,catherine14@gmail.com,40000,4,0,Bellevue,Washington,United States,98004,High School,0,2,1925 Poncho Street,NULL,726-555-0178,22-03-2013,2-5 Miles
8021,50,AW00018065,NULL,Julia,NULL,Brown,15-10-1950,S,Female,NULL,9993975909,julia26@gmail.com,70000,5,0,Duvall,Washington,United States,98019,Bachelors,1,2,9555 Whyte Park Ave.,NULL,191-555-0143,04-09-2013,2-5 Miles
8022,300,AW00018066,NULL,Steve,J,He,16-07-1951,S,Female,NULL,9997646491,steve21@gmail.com,70000,5,0,Bothell,Washington,United States,98011,Bachelors,1,3,3792 Esperanza Drive,NULL,806-555-0181,12-11-2013,10+ Miles
8023,547,AW00018067,NULL,Jackson,E,King,07-02-1952,M,Male,NULL,9999722062,jackson49@gmail.com,70000,5,0,Carnation,Washington,United States,98014,Bachelors,1,4,1466 Aspen Drive,NULL,538-555-0143,17-11-2013,10+ Miles
8024,385,AW00018068,NULL,Ethan,NULL,Walker,22-05-1952,M,Male,NULL,9990656538,ethan51@gmail.com,70000,5,0,Snohomish,Washington,United States,98296,Bachelors,0,4,7811 Harris Circle,NULL,569-555-0192,31-10-2013,2-5 Miles
8025,316,AW00018069,NULL,Elijah,E,Hill,23-12-1951,M,Male,NULL,9991955231,elijah41@gmail.com,70000,5,0,Redmond,Washington,United States,98052,Bachelors,1,4,914 Nicholas Drive,NULL,416-555-0163,01-08-2013,10+ Miles
8026,369,AW00018070,NULL,Alyssa,P,Martinez,04-08-1951,M,Male,NULL,9995764023,alyssa17@gmail.com,60000,4,0,Edmonds,Washington,United States,98020,Bachelors,1,2,2090 Vine Hill Way,NULL,568-555-0197,23-01-2014,10+ Miles
8027,326,AW00018071,NULL,Katelyn,E,Campbell,09-08-1957,M,Male,NULL,9997154958,katelyn29@gmail.com,60000,4,0,Seattle,Washington,United States,98104,Bachelors,1,2,2141 Pepper Way,NULL,911-555-0143,25-04-2013,2-5 Miles
8028,552,AW00018072,NULL,Maria,D,Perez,31-01-1952,S,Female,NULL,9996086602,maria55@gmail.com,60000,4,0,Bellevue,Washington,United States,98004,Bachelors,1,2,7662 Nulty Dr.,NULL,737-555-0153,07-09-2013,10+ Miles
8029,361,AW00018073,NULL,Robert,A,Chen,11-02-1952,M,Male,NULL,9995465283,robert37@gmail.com,60000,4,0,Edmonds,Washington,United States,98020,Bachelors,1,2,5053 Freedom Hill Circle,NULL,806-555-0157,20-01-2014,10+ Miles
8030,626,AW00018074,NULL,Julia,L,Hall,14-10-1952,S,Female,NULL,9998240232,julia45@gmail.com,70000,2,1,Edmonds,Washington,United States,98020,Partial College,1,1,1307 Horseshoe Circle,NULL,470-555-0151,19-07-2013,10+ Miles
8031,374,AW00018075,NULL,Courtney,C,Adams,07-07-1952,S,Female,NULL,9993542010,courtney12@gmail.com,70000,2,1,Edmonds,Washington,United States,98020,Partial College,1,1,6089 Santa Fe Dr.,NULL,709-555-0119,05-11-2013,2-5 Miles
8032,307,AW00018076,NULL,Andre,F,Mehta,11-04-1969,M,Male,NULL,9993639284,andre14@gmail.com,70000,2,1,Bothell,Washington,United States,98011,Partial College,1,1,8636 St. Francis St.,NULL,317-555-0119,29-10-2013,10+ Miles
8033,49,AW00018077,NULL,Philip,NULL,Ruiz,11-08-1958,M,Male,NULL,9990041180,philip1@gmail.com,70000,2,1,Carnation,Washington,United States,98014,Partial College,1,1,786 Rachele Road,NULL,655-555-0149,30-05-2013,10+ Miles
8034,49,AW00018078,NULL,Ruben,NULL,Srini,17-10-1952,M,Male,NULL,9997063867,ruben9@gmail.com,70000,2,1,Redmond,Washington,United States,98052,Partial College,1,1,7610 Pepperridge Pl.,NULL,375-555-0112,27-03-2013,10+ Miles
8035,331,AW00018079,NULL,Victoria,NULL,Martin,11-11-1952,M,Male,NULL,9994148680,victoria15@gmail.com,60000,5,0,Seattle,Washington,United States,98104,Bachelors,1,3,9593 Eastgate Lane,NULL,664-555-0120,16-09-2013,10+ Miles
8036,347,AW00018080,NULL,Paige,NULL,Richardson,12-05-1953,M,Male,NULL,9993270951,paige33@gmail.com,60000,5,0,Seattle,Washington,United States,98104,Bachelors,1,3,5042 Mining Rd,NULL,676-555-0146,04-09-2013,2-5 Miles
8037,60,AW00018081,NULL,Amanda,NULL,Parker,21-11-1953,M,Male,NULL,9991785850,amanda51@gmail.com,40000,2,1,Renton,Washington,United States,98055,High School,1,2,1130 Fillet Ave.,NULL,978-555-0167,12-07-2013,2-5 Miles
8038,614,AW00018082,NULL,Steven,E,Sanchez,09-04-1965,M,Male,NULL,9998600857,steven27@gmail.com,60000,2,1,Bothell,Washington,United States,98011,Partial College,1,1,5183 Sharon Pl.,NULL,620-555-0127,08-11-2013,10+ Miles
8039,618,AW00018083,NULL,Osarumwense,Uwaifiokun,Agbonile,16-10-1953,M,Male,NULL,9990407455,osarumwense0@gmail.com,60000,2,1,Bothell,Washington,United States,98011,Partial College,1,1,3858 Vista Diablo,Unit C,592-555-0152,30-06-2013,10+ Miles
8040,634,AW00018084,NULL,Jessica,NULL,Diaz,05-10-1953,S,Female,NULL,9994651571,jessica46@gmail.com,60000,2,1,Renton,Washington,United States,98055,Partial College,0,1,7437 Jason Ct,NULL,607-555-0192,19-09-2013,2-5 Miles
8041,310,AW00018085,NULL,Christy,U,Nath,16-02-1954,S,Female,NULL,9995474226,christy36@gmail.com,60000,2,1,Renton,Washington,United States,98055,Partial College,0,2,5288 Carletto Drive,NULL,980-555-0120,27-09-2013,2-5 Miles
8042,311,AW00018086,NULL,Jaclyn,R,Zeng,07-04-1954,S,Female,NULL,9993138650,jaclyn23@gmail.com,60000,2,1,Kenmore,Washington,United States,98028,Partial College,1,2,5665 Myrtle Drive,NULL,979-555-0180,11-09-2013,2-5 Miles
8043,326,AW00018087,NULL,Marcus,J,Long,14-01-1954,S,Female,NULL,9992476618,marcus59@gmail.com,60000,2,1,Bellevue,Washington,United States,98004,Bachelors,1,0,3202 La Vuelta,NULL,862-555-0125,29-08-2013,10+ Miles
8044,336,AW00018088,NULL,Seth,A,Stewart,22-07-1953,M,Male,NULL,9998163032,seth91@gmail.com,60000,2,1,Edmonds,Washington,United States,98020,Bachelors,0,0,9893 Oak Brook Place,NULL,863-555-0190,12-09-2013,2-5 Miles
8045,51,AW00018089,NULL,Melanie,C,Gonzales,13-03-1955,M,Male,NULL,9991959739,melanie4@gmail.com,40000,2,1,Monroe,Washington,United States,98272,High School,1,2,7466 Firestone,NULL,595-555-0173,29-11-2013,10+ Miles
8046,52,AW00018090,NULL,Lucas,P,Smith,01-09-1960,M,Male,NULL,9995063812,lucas13@gmail.com,40000,2,1,Seattle,Washington,United States,98104,High School,1,2,8176 Pena,NULL,662-555-0157,21-04-2013,2-5 Miles
8047,53,AW00018091,NULL,Chase,NULL,Bell,09-05-1960,S,Female,NULL,9999408358,chase14@gmail.com,40000,2,1,Seattle,Washington,United States,98104,High School,1,2,5175 Elm Rd.,NULL,261-555-0116,05-12-2013,10+ Miles
8048,54,AW00018092,NULL,Eduardo,NULL,Baker,13-09-1954,M,Male,NULL,9994785263,eduardo31@gmail.com,40000,2,1,Edmonds,Washington,United States,98020,Partial High School,1,2,7233 Leticia,NULL,698-555-0189,02-12-2013,10+ Miles
8049,548,AW00018093,NULL,Grace,M,Johnson,05-05-1955,S,Female,NULL,9991558223,grace0@gmail.com,60000,2,1,Edmonds,Washington,United States,98020,Partial College,1,2,4167 Green Leaf Drive,NULL,761-555-0113,16-06-2013,10+ Miles
8050,298,AW00018094,NULL,Roy,NULL,Alonso,01-01-1955,S,Female,NULL,9992840656,roy28@gmail.com,60000,2,1,Monroe,Washington,United States,98272,Bachelors,1,0,1898 South St.,NULL,666-555-0185,19-02-2013,10+ Miles
8051,300,AW00018095,NULL,Thomas,M,Campbell,12-05-1955,M,Male,NULL,9999074960,thomas44@gmail.com,60000,2,1,Bellevue,Washington,United States,98004,Bachelors,1,0,6768 Walters Way,NULL,432-555-0179,05-02-2013,10+ Miles
8052,300,AW00018096,NULL,Ariana,R,Kelly,30-08-1954,M,Male,NULL,9991269380,ariana2@gmail.com,60000,2,1,Redmond,Washington,United States,98052,Bachelors,0,0,6404 West Slough Rd,NULL,366-555-0128,06-09-2013,2-5 Miles
8053,635,AW00018097,NULL,Sydney,NULL,Stewart,15-08-1961,S,Female,NULL,9997359728,sydney0@gmail.com,60000,2,1,Bellevue,Washington,United States,98004,Partial College,1,2,8422 W. Holly Drive,NULL,166-555-0111,22-03-2013,10+ Miles
8054,552,AW00018098,NULL,Edward,C,Lee,08-05-1956,M,Male,NULL,9996874712,edward44@gmail.com,60000,2,1,Sammamish,Washington,United States,98074,High School,1,2,130 Alamo Court,NULL,143-555-0177,06-09-2013,2-5 Miles
8055,325,AW00018099,NULL,Marcus,M,Edwards,06-05-1961,M,Male,NULL,9991183462,marcus47@gmail.com,60000,2,1,Redmond,Washington,United States,98052,Partial College,1,1,5014 S. Villa Way,NULL,842-555-0134,10-06-2013,2-5 Miles
8056,345,AW00018100,NULL,Kyle,L,Li,06-04-1956,M,Male,NULL,9996069359,kyle22@gmail.com,70000,4,2,Bellevue,Washington,United States,98004,Partial College,1,1,6939 E. 7th Street,NULL,161-555-0138,17-07-2013,10+ Miles
8057,347,AW00018101,NULL,Bailey,NULL,Turner,26-10-1955,M,Male,NULL,9990006639,bailey26@gmail.com,70000,4,2,Bellevue,Washington,United States,98004,Partial College,1,1,8186 St. Michael Drive,#a,846-555-0146,18-11-2013,10+ Miles
8058,372,AW00018102,NULL,Nicholas,G,Lewis,16-11-1955,M,Male,NULL,9995073345,nicholas1@gmail.com,80000,3,1,Edmonds,Washington,United States,98020,Bachelors,1,1,7466 La Vista Ave.,NULL,560-555-0114,04-02-2013,1-2 Miles
8059,49,AW00018103,NULL,Chelsea,E,Gonzalez,21-12-1956,S,Female,NULL,9993203295,chelsea20@gmail.com,60000,2,1,Bellevue,Washington,United States,98004,High School,0,2,4377 Westminster Pl.,NULL,234-555-0154,10-12-2013,2-5 Miles
8060,642,AW00018104,NULL,Taylor,NULL,Coleman,20-12-1956,M,Male,NULL,9998388492,taylor31@gmail.com,60000,2,1,Kenmore,Washington,United States,98028,Partial College,1,1,3880 95th,NULL,232-555-0179,02-04-2013,2-5 Miles
