PatientID,GeographyKey,CustomerAlternateKey,Title,FirstName,MiddleName,LastName,BirthDate,MaritalStatus,Gender,Suffix,Mobile,EmailAddress,YearlyIncome,TotalChildren,NumberChildrenAtHome,City,StateProvinceName,CountryRegion,ZipCode,EnglishEducation,HouseOwnerFlag,NumberCarsOwned,AddressLine1,AddressLine2,Phone,DateFirstJoined,CommuteDistance
1001,33,AW00011035,NULL,Wendy,NULL,Dominguez,23-08-1953,M,Male,NULL,9994197972,wendy12@gmail.com,10000,2,1,Seattle,Washington,United States,98104,Partial High School,1,2,1873 Mt. Whitney Dr,NULL,1 (11) 500 555-0177,06-02-2011,1-2 Miles
1002,343,AW00011036,NULL,Jennifer,C,Russell,16-06-1984,M,Male,NULL,9997690367,jennifer93@gmail.com,60000,0,0,Redmond,Washington,United States,98052,Partial College,1,2,3981 Augustine Drive,NULL,115-555-0183,22-01-2013,1-2 Miles
1003,49,AW00011037,NULL,Chloe,M,Garcia,27-05-1983,S,Female,NULL,9992671565,chloe27@gmail.com,40000,0,0,Carnation,Washington,United States,98014,Partial High School,0,2,8915 Woodside Way,NULL,229-555-0112,20-01-2013,5-10 Miles
1004,6,AW00011038,NULL,Diana,F,Hernandez,20-09-1953,M,Male,NULL,9991636351,diana2@gmail.com,10000,2,1,Seattle,Washington,United States,98104,Partial High School,1,2,8357 Sandy Cove Lane,NULL,1 (11) 500 555-0114,07-02-2011,5-10 Miles
1005,19,AW00011039,NULL,Marc,J,Martin,16-06-1954,M,Male,NULL,9991829584,marc3@gmail.com,30000,3,0,Seattle,Washington,United States,98104,Partial College,1,2,9353 Creekside Dr.,NULL,1 (11) 500 555-0183,07-02-2011,5-10 Miles
1006,642,AW00011040,NULL,Jesse,NULL,Murphy,29-01-1983,M,Male,NULL,9994262186,jesse15@gmail.com,30000,0,0,Monroe,Washington,United States,98272,Partial College,1,2,3350 Kingswood Circle,NULL,961-555-0176,03-04-2013,1-2 Miles
1007,325,AW00011041,NULL,Amanda,M,Carter,15-04-1983,M,Male,NULL,9999018871,amanda53@gmail.com,60000,0,0,Monroe,Washington,United States,98272,Partial College,1,2,5826 Escobar,NULL,295-555-0145,14-01-2013,1-2 Miles
1008,8,AW00011052,NULL,Heidi,NULL,Lopez,03-02-1957,S,Female,NULL,9994352586,heidi19@gmail.com,40000,2,0,Redmond,Washington,United States,98052,Partial College,0,2,2514 Via Cordona,NULL,1 (11) 500 555-0168,17-02-2011,5-10 Miles
1009,359,AW00011053,NULL,Ana,E,Price,17-02-1986,M,Male,NULL,9990461212,ana0@gmail.com,60000,0,0,Snohomish,Washington,United States,98296,Partial College,0,2,1660 Stonyhill Circle,NULL,859-555-0113,17-01-2013,1-2 Miles
1010,34,AW00011054,NULL,Deanna,NULL,Munoz,07-09-1957,M,Male,NULL,9999692518,deanna33@gmail.com,40000,2,0,Edmonds,Washington,United States,98020,Partial College,1,2,5825 B Way,NULL,1 (11) 500 555-0192,03-02-2011,5-10 Miles
